,user,topic0,topic1,topic2,topic3,cluster
0,foskolo,101,118,110,105,0
0,KarimBencherifa,85,92,79,101,0
0,HamiltonAnthony,97,130,105,110,0
0,CCBNigeria,22,35,21,26,1
0,FlemingSport,114,120,125,111,0
0,thirdrowtesla,116,107,107,101,0
0,saharareporters,113,113,130,116,0
0,geep_ng,123,119,132,119,0
0,officialnyscng,131,106,122,98,0
0,EnMaroc,5,4,1,2,1
0,mansoortshams,110,122,136,116,0
0,NOmorotionmwan,95,113,122,114,0
0,IRCWASH,122,119,109,130,0
0,nigerianports,128,118,109,138,0
0,laurakbrehm,111,113,109,108,0
0,Twiplomacy,127,110,106,104,0
0,Kenny_Majozi_,93,77,87,74,0
0,weijia,100,128,117,129,0
0,JFKii,114,115,126,112,0
0,sarahHwaris,122,115,127,111,0
0,Butler_Benton,104,94,97,100,0
0,laurajaynemart,109,109,119,127,0
0,MzGossipGirl,82,84,91,88,0
0,MartinLipton,135,114,122,124,0
0,realREANigeria,110,122,127,118,0
0,FinMinNigeria,100,123,130,100,0
0,FIFAMuseum,119,114,130,133,0
0,NickAmes82,140,129,119,114,0
0,@ritaUdominic,89,68,98,71,0
0,HerbertRSim,2,3,1,0,1
0,jokowi,3,0,1,0,1
0,cuddle_core,115,114,150,105,0
0,finminnigeria,104,105,114,130,0
0,WeCatapult,128,124,119,108,0
0,WorldBankAfrica,123,123,125,129,0
0,thecajunboy,128,122,114,117,0
0,CyrilRamaphosa,79,78,91,95,0
0,BentleyRadio,112,111,109,118,0
0,akinolaboade,77,68,86,56,0
0,kadariaahmed,91,83,96,112,0
0,IAmapakabo,6,9,7,15,1
0,Christophbongo,100,120,121,110,0
0,ncdcgov,117,114,130,84,0
0,FMICNigeria,114,94,126,113,0
0,kevinddaniels,127,109,95,118,0
0,Kaepernick7,52,66,72,60,1
0,kwinlizzy,123,119,102,107,0
0,inecnigeria,107,116,130,124,0
0,ItsMeTC15,119,104,106,107,0
0,PlanUSA,127,147,107,111,0
0,jidesanwoolu,129,112,110,106,0
0,Hgieltrouc_,132,112,122,125,0
0,delina4az,126,112,121,125,0
0,firsNigeria,109,121,103,129,0
0,aannggeellll,116,96,95,111,0
0,TradeInvestNG,125,130,111,123,0
0,USinNigeria,126,119,139,116,0
0,bbcsportsworld,109,114,139,136,0
0,Aina2Ola,91,84,111,105,0
0,NSIP_NG,98,93,119,86,0
0,DrAhmadLawan,108,105,85,112,0
0,LabourMinNG,48,40,48,39,1
0,vkhosla,113,116,113,130,0
0,DavidHundeyin,111,131,107,117,0
0,aguribfakim,119,117,111,118,0
0,CaseFoundation,137,109,121,118,0
0,NhisNg,81,75,96,111,0
0,PresidenceTg,1,5,0,1,1
0,neyssacadet,44,51,43,48,1
0,MJohnsonCTV,110,97,89,90,0
0,adaure,122,92,117,118,0
0,sarahtoy17,111,109,113,138,0
0,nysc_ng,109,122,113,125,0
0,aishambuhari,107,112,95,100,0
0,DrLesterColl,121,110,103,111,0
0,MsilaBotha,23,16,19,12,1
0,nsvf,133,133,123,112,0
0,pacacng,88,89,71,89,0
0,VusiThembekwayo,100,103,107,120,0
0,fkeyamo,114,123,121,133,0
0,EngrSMamman,31,24,23,33,1
0,MagufuliJP,6,9,4,6,1
0,cristina_CP24,113,136,97,114,0
0,@uchejombo,111,112,105,90,0
0,RoshanaMN,102,107,117,114,0
0,fmmsdngr,107,133,99,122,0
0,nytimesbooks,123,134,119,124,0
0,NgComCommission,116,113,107,94,0
0,waberiBouh,13,10,8,14,1
0,mekus102,111,110,99,105,0
0,TMuk_news,124,99,111,138,0
0,patrickdehahn,116,128,105,104,0
0,KrisReyes,116,114,101,117,0
0,DohaDebates,129,128,130,115,0
0,ArchithNEWS,108,145,120,122,0
0,FedRoadsNGR,108,119,112,104,0
0,hectormejianews,123,120,123,124,0
0,FlorenceOzor,90,104,102,98,0
0,fgnigeria,122,121,106,118,0
0,JRichardKelly,45,50,34,47,1
0,CorrectionsNg,104,114,112,99,0
0,lemdek,11,14,12,11,1
0,JPAL,132,120,109,122,0
0,RaymondChambers,134,105,127,124,0
0,LaurieBlackSD,112,109,107,119,0
0,lassanawelt,3,2,1,4,1
0,ICPC_PE,106,108,110,120,0
0,sgevans,128,131,118,116,0
0,BatMandervelde,28,22,25,29,1
0,EmmanuelMacron,5,6,4,10,1
0,GdnDevelopment,123,105,138,136,0
0,MrLeeMcAteer,123,115,104,125,0
0,fatma_samoura,86,94,92,81,0
0,cheng_christine,121,121,110,128,0
0,nigimmigration,149,105,112,131,0
0,NiaVardalos,90,116,94,69,0
0,ronnypascale,111,131,107,99,0
0,Enewstorybrooke,120,132,115,115,0
0,SarBareman,86,81,77,74,0
0,mikemajlak,124,121,101,125,0
0,JessicaCalvello,89,74,84,87,0
0,AlyxSacksKCCI,107,116,126,119,0
0,KIPP,116,111,113,121,0
0,Afrs1077Fm,117,127,117,120,0
0,NoahGrossman214,102,118,112,99,0
0,BabatundeKoiki,95,95,108,90,0
0,Malala,88,112,91,99,0
0,ngrpresident,114,128,133,122,0
0,bylka613_,105,101,96,95,0
0,@TONTOLET,84,125,108,110,0
0,OfficialPDPNig,84,87,84,76,0
0,JeremyCFox,124,117,115,115,0
0,DStvNgCare,111,114,151,129,0
